data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Awesome! I thought I hated running but the garmin coach running plans changed my mind. They give you reasonable run plans for whatever level runner you are. Made me feel confident and comfortable when I ran.,5,0,0,0,1,en,Garmin Connect
On galaxy s4,1,0,0,0,1,en,Garmin Connect
Vivo Active HR active/intensity minutes have stopped working again? I have emailed support twice and no response,2,5,1,0,0,en,Garmin Connect
"After last update how i can see my scheduled trainings? It shows only ""today"" . Please update. Thank you",3,1,1,0,0,en,Garmin Connect
"Good overall. Could do with a couple of extra features. For example the Polar app has a feature where you can look at your heart rate and pace at each point in your run as a function of distance (rather than time), which would be useful. Also if the watch has a software update it restarts at the end, blanking any steps you had for that day. All the other functions work pretty well.",4,0,0,1,0,en,Garmin Connect
"I don't know the point of this app if it cannot connect to watch consistently. I have OnePlus 6T and Venu and I have to struggle to connect to app most of the time. I have to try clear cache, location permission reset, Bluetooth off/on, clear storage, uninstall and install connect app etc each time. Even then it still says connecting to venue and never asks the PIN to pair. If I try any of above troubleshooting multiple times, if I get lucky, it connects. Not happy.",1,4,1,0,0,en,Garmin Connect
Best set of tools for the money,5,0,0,0,1,en,Garmin Connect
This app and the watch help so much,5,0,0,0,1,en,Garmin Connect
love it xx,5,0,0,0,1,en,Garmin Connect
Great fitness companion and smart watch.,4,0,0,0,1,en,Garmin Connect
So far so good. Been finding more to like about it everyday.,5,0,0,0,1,en,Garmin Connect
just love it,5,0,0,0,1,en,Garmin Connect
Love how easy it is to use :),5,0,0,0,1,en,Garmin Connect
I like it,5,0,0,0,1,en,Garmin Connect
Updated today and now shows my weight as 10.5:7.0 st?! What the hell is that all about!,3,0,1,0,0,en,Garmin Connect
Just got my watch. Thinks a great app,5,0,0,0,1,en,Garmin Connect
"As an activity tracker it's fine, unfortunately it will not automatically sync and useless as a smart watch as notifications don't work.",1,0,1,0,0,en,Garmin Connect
It doesn't work since update,1,0,1,0,0,en,Garmin Connect
Still needs a bit of work,4,0,0,0,1,en,Garmin Connect
Easy to use with the instinct. Multitude of activities are shown,5,0,0,0,1,en,Garmin Connect
It's a great experience,5,0,0,0,1,en,Garmin Connect
"Lately I am very frustrated with the app. I need to pair my watch every time it lost bluetooth connection with my phone. I see people with similar complains. Hope garmin can solve this soon, otherwise I'd be forced to get a different watch. Phone: Samsung A32 Watch: Vivoactive 4",1,3,1,0,0,en,Garmin Connect
"I could never get notifications, went to verizon,they couldn't figure it out ,also geek squad couldn't figure it out....returned it..wasted my time and money",1,0,1,0,0,en,Garmin Connect
awesome,5,0,0,0,1,en,Garmin Connect
The app has a lot of good info but it doesn't always sync up and depending on when you since up it effects your goal numbers. Overall I would rate this as poor.,2,14,1,0,0,en,Garmin Connect
⭐⭐⭐⭐,5,0,0,0,1,en,Garmin Connect
"As of version 4.42 I can no longer sync activities from my Garmin 810 to my Samsung galaxy android via Bluetooth. Up until April 28, 2021 it was working ok",1,0,1,0,0,en,Garmin Connect
"This is my second Vivosmart, I returned the first one due to blurry display. I've had this one for two weeks and for the past several days, the Bluetooth hasn't worked so I can't sync to the app.  It's quite frustrating.  I can't find a fix that works.  I've turned Bluetooth off and on and  I've uninstalled the app and reinstalled it a number of times. I'm becoming very disappointed in the Vivosmart.",2,0,1,0,0,en,Garmin Connect
Cant seem to be able to download app s and watch faces. It alwas say that I must download the latest version s through Garmin Express. I have the all the latest and updated vertions on my phone and watch. What to do??????????????????????? Please help,3,0,1,0,0,en,Garmin Connect
Great App!,5,0,0,0,1,en,Garmin Connect
Great app for the basic stuff i use it for.,5,0,0,0,1,en,Garmin Connect
"Very frustrating for this reason, else a pretty nice app.",3,0,0,0,1,en,Garmin Connect
Best app ever!,5,0,0,0,1,en,Garmin Connect
This app is reports data from my fitness pal incorrectly. Completely different weight shown for yesterday days entry in my fitness.  Very disappointed!,1,0,1,0,0,en,Garmin Connect
Easy to setup and begin using to follow progress.,5,0,0,0,1,en,Garmin Connect
"No complaints, intuitive and great array of analytics (for running anyway!)",5,0,0,0,1,en,Garmin Connect
