data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
"Motivant, précis et complet. Petit bug : l'horloge du suivi sommeil (notamment) n'a pas pris en compte le changement heure été vers heure hiver français !",4,0,1,0,0,fr,Garmin Connect
Déçu !! Obligé de réinstaller tous les jours l'application pour les notifications intelligentes...ça marche une journée...et pof ce ne fonctionne plus le lendemain !!Très pénible...que se passe-t-il ? Tout est déverrouillé sur mon tph!! pénible !! Pouvez vous faire quelque-chose ? Merci !!,1,5,1,0,0,fr,Garmin Connect
Mon motorola mb860 n arrive pas a se coupler avec l app. Ca me sert donc a rien! Si quelqu un a une astuce...,1,2,1,0,0,fr,Garmin Connect
"Très bonne application, mais il semblerait que la dernière mise à jour est créé un problème. Plus de transfert d'activité et affichage du message ”une erreur est survenue” sur toute les pages ou bien plus aucune données ne s'affichent. Pourtant les notifications sont bien transmises à la montre et les données cardiaque ou de pas sont transmise à l'application. Pour info j'ai le problème aussi bien sur mon honor 6x que sur ma samsung galaxy S5e",1,30,1,0,0,fr,Garmin Connect
Jadore. Simple et efficace.,5,0,0,0,1,fr,Garmin Connect
"Plus possible de lancer Spotify depuis ma Vivoactive. De même, plus possible de mettre Spotify en tant qu'application Musique par défaut. Une solution ?",4,0,1,1,0,fr,Garmin Connect
Fonctionne très bien avec la montre Forerunner 735xt,4,0,0,0,1,fr,Garmin Connect
"l appli a très bien fonctionné pdt plusieurs mois mais ne synchronise plus rien avec le Cloud Garmin depuis la dernière mise à jour il y a 3 semaines. De plus l affichage ""ma journée"" n affiche plus que la moitié des items. Plus aucune infos sur le sommeil, sur la FC... déplorable. L appli est gratuite, ok, mais pas la montre à 300€! Le service informatique doit intervenir!",2,48,1,0,0,fr,Garmin Connect
"Bonjour, sur mon Huawei P9 lite, la connexion bluetooth avec ma Vivoactive HR ne fonctionne plus depuis fin octobre. Je ne sais pas si c'est dû à une MAJ Garmin ou Android. Car ce que je constate, c'est que cela fonctionne parfaitement avec un iPod, ou même avec mon vieux Nexus 5 (sur Android 6.0.1) que j'ai ressorti pour l'occasion (j'ai essayé avec les 2 dernières mises à jour de Garmin Connect, dont celle de ce matin). Donc d'après ça et les commentaires lus depuis plus d'un mois ici, il semble que les problèmes soient avec les Huawei et certains HTC et Asus. À moins que ce soit lié avec une version spécifique d'Android. Travaillant dans la qualité logicielle, je sais bien à quel point il est difficile de tester un logiciel avec toutes les combinaisons que cela comporte (à tous ceux qui disent ""la montre est chère et devrait être fiable de base"", sachez que pour faire du logiciel vraiment fiable, il faudrait multiplier par 50 le prix de la montre, et donc vous et moi ne l'achèterions pas ; pourquoi croyez-vous qu'un avion coûte si cher ? Dans les systèmes critiques modernes, sachez que ce qui coûte le plus cher ne sont pas les pièces, mais bel et bien le logiciel, car les ingénieurs coûtent ""cher"" et le temps de test est très long). Cependant, le problème semble vraiment toucher pas mal de modèles, donc forcément, deux mois pour le résoudre semble un peu long pour les clients. Le problème pour moi n'est pas le temps que cela prend, mais surtout le manque de communication, qui est un ""tue business"". Car limite si vous expliquiez pourquoi vous n'arrivez toujours pas à résoudre le problème, je pense que moins de monde râlerait ici (enfin j'espère surtout). Car mis à part ça, la montre est cool et l'appli aussi, quand elle fonctionne.",3,4,1,0,0,fr,Garmin Connect
"Depuis la nouvelle version, impossible d'afficher la carte dans l'application Locus Map !",1,0,1,0,0,fr,Garmin Connect
