data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
I am unable to connect my huawei band 7. The app does not show the band at all. Tell me what to do now.,1,0,1,0,0,en,Huawei Health
Working,5,0,0,0,1,en,Huawei Health
Worst,1,0,0,0,1,en,Huawei Health
"Sleep data ok on watch but not logging on health app still, even after update too current version ending 331, not worked all this year . App will record naps ok now, Still not sorted .",3,0,1,0,0,en,Huawei Health
"overall, the app gives me all the data I need. but lately, I have been experiencing hanging and crashing upon opening. please resolve this issue. thanks now, it can not record my activity if I am not connected to the internet..",2,1,1,0,0,en,Huawei Health
Doesn't sync well with Google Fit,1,2,1,0,0,en,Huawei Health
It's not working properly but useful,3,0,1,0,0,en,Huawei Health
App doesn't save my height and weight. I have tried multiple times. Can someone help with this?,3,0,1,0,0,en,Huawei Health
Trash,1,0,0,0,1,en,Huawei Health
very useful for health,5,0,0,0,1,en,Huawei Health
Please add call silence option while notifying incoming calls for honor band 5,5,0,0,1,0,en,Huawei Health
A/c Login free App 😁,3,0,0,0,1,en,Huawei Health
Problem with new version,1,0,0,0,1,en,Huawei Health
"App contains only walk, run and bike activities. I can't sync with linked Google fit account. No heart rates, no sleep data",2,0,1,0,0,en,Huawei Health
Can you add some more watch faces (already used all watch faces so many times).. mi is providing 1000+ watch faces from 3rd party and their own combined... or can you please allow us to customize watch face from 3rd party app.. Can u provide outdoor cycling too in the list.,5,0,0,1,0,en,Huawei Health
"Please stop the updating, it's making the App worst",1,0,0,1,0,en,Huawei Health
This app is pretty decent now that they've fixed the probelms. I love seeing how much exercise and steps i do in a day. Its really motivated me to keep doing more and its helping me improve my fitness levels in general. The sleep tracker isnt very accurate but gives you an idea of your sleep so thats good.,4,142,0,1,0,en,Huawei Health
Very useful,5,0,0,0,1,en,Huawei Health
Good,4,0,0,0,1,en,Huawei Health
Not able to connect with device,2,0,1,0,0,en,Huawei Health
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,1,0,1,0,0,en,Huawei Health
"For general use, it is ok. But there no auto syn feature plus the Huawei Health kit does not work and also cannot link to Strava even with all permissions and login setup for Strava in Huawei Health. Keep on giving me network errors, what is these network errors?? Very disappointing!!",2,8,1,0,0,en,Huawei Health
Pro band 3 working with Huawei Pro 20 This is my 3rd day of wearing my smart band and yet today it will not sync🤔 I've turned off and on blue tooth tried pairing etc. Still nothing it's showing yesterday's early am data only. What's wrong with it. I believe I have the latest version app.,3,0,1,0,0,en,Huawei Health
Cannot connect with Strava as advertised,1,0,1,0,0,en,Huawei Health
Doesn't back up data. Needs Web browser syncs.,1,0,1,0,0,en,Huawei Health
It's a great app. Very functional.,5,0,0,0,1,en,Huawei Health
"Not able to connect my watch gt2 with this app,I don't know how to resolve it",1,0,1,0,0,en,Huawei Health
"Hate the new update, whilst i use this app daily, hiding the device functions, particularly the alarm behind 3 menus has made it pointlessly inconvenient, considering using a different app an together, the layout as it was, was perfect, now it's clunky and needlessly laborious. Feels iterated on to the point of counter intuitive",2,2,0,1,0,en,Huawei Health
"Great app as far as I'm concerned, I've paired my Honor 9 Lite to my Honor Band 5. I've found it very useful on walks telling me how far I've walked and also impressed with it telling me how well I've slept during the night, even knows Rem, deep, light sleep. Even gives advice on how to get a better night sleep.",5,0,0,0,1,en,Huawei Health
Very very nice,5,0,0,0,1,en,Huawei Health
Interesting app even though you have to sign away your life. Not totally intuitive. Needs time to get best out of it. Please remove advertising. I have bought your product. Don't force my to view stuff I don't want.,4,0,0,1,0,en,Huawei Health
Be nice if it stored data online somewhere or had an option to export data or transfer it from one phone to another. Otherwise this app does exactly what it is supposed to do with my watch. The watch's sleep-tracking has always been super impressive to me.,5,59,0,1,0,en,Huawei Health
Synchronisation with google fit and other apps is not working.,1,0,1,0,0,en,Huawei Health
spyware + malware.,1,1,0,0,1,en,Huawei Health
Can't sync sleep data since last update (on Samsung Galaxy J6+),2,0,1,0,0,en,Huawei Health
Tanks,4,0,0,0,1,en,Huawei Health
"Useless since last update. It won't sync any data, so everything previous is gone. When I want to see sleep records, it halts immediately. Reinstalled it today, everything is the same. Left a review yesterday, that has also been removed...",1,4,1,0,0,en,Huawei Health
Good apps,5,0,0,0,1,en,Huawei Health
