data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
J'adore cette mise à jour,5,0,0,0,1,fr,Huawei Health
Amateurs. It was my last huawey product,1,0,0,0,1,fr,Huawei Health
C'est cool,4,0,0,0,1,fr,Huawei Health
"Super, ça fonctionne à nouveau et je n'ai pas perdu mes donnés ça fait plaisir.",5,0,0,0,1,fr,Huawei Health
Pouvez vous régler le problème de compatibilité sur Android 10 l'application s'ouvre plus bloqué pour dire qu'il faut la dernière version merci de votre compréhension .,3,0,1,0,0,fr,Huawei Health
"Pas mal, manque juste le lien avec d'autres applis : google fit, strava etc",4,0,1,0,0,fr,Huawei Health
"Je ne comprend pas pourquoi je ne peux plus depuis quelques temps visualiser les parcours de mes exercices, télécharger de nouveaux cadrans et d'autres fonctionnalités telles que gérer le compte !!! ... en gros ça ne s'arrange pas. Par contre la pub pour acheter la Watch 3 fonctionne parfaitement... 😒😒",2,2,1,0,0,fr,Huawei Health
"Depuis la dernière mise à jour ça dysfonctionne sérieusement ! Synchronisation très partielle des données de mon Huawei Band 2 (seulement les pas enregistrés dans la journée mais pas ceux des jours précédents, aucune synchro des données d'activité ou de sommeil), mise à jour du firmware impossible (toujours en échec malgré reset usine). Bref, seulement 6 mois de fonctionnement correct c'est abusé !",1,19,1,0,0,fr,Huawei Health
C'est vraiment bien fait. Au top !,5,0,0,0,1,fr,Huawei Health
J'ai kiffer,5,0,0,0,1,fr,Huawei Health
Genial,4,0,0,0,1,fr,Huawei Health
Année antérieure à 1940 oubliez... Toutes personnes âgées de plus de 80ans n est pas referencées ! Discriminatoire... Dommage car les appli etaient simple et efficaces.. Pour moi ça sera le dernier huawei... A bon entendeur,1,0,0,1,0,fr,Huawei Health
Ça bug depuis la mise a jour,1,0,1,0,0,fr,Huawei Health
Très bien. Je recommande,5,0,0,0,1,fr,Huawei Health
Je ne trouve pas comment faire pour avoir les médailles sur mon profil. Je  n'arrive pas à synchroniser l'application avec mon compte,3,1,0,1,0,fr,Huawei Health
"Trop de bugs depuis la mise à jour (détecte un sommeil profond quand je ne  le porte pas, 10 mn d'activité quand j'en ai fait 30 ...)",2,1,1,0,0,fr,Huawei Health
"Bien. Manque beaucoup de fonctions. J'arrive pas à paramètrer en français quant il me donne le nombre de km, la vitesse que je fait en exercice il me les donne en anglais dommage !",3,1,0,1,0,fr,Huawei Health
Application complète. Le top,5,1,0,0,1,fr,Huawei Health
Pas capable de changer mon fond de cadran avec l'application.... très décevant,1,0,0,1,0,fr,Huawei Health
Peu mieux faire au niveau de l interface que des types d excercices qui sont très limitéd,1,0,0,1,0,fr,Huawei Health
Je vous conseil,5,0,0,0,1,fr,Huawei Health
"band pro 3 reçue en cadeau fin juin. Après plusieurs difficultés pour connecter ma montre à mon téléphone, cela fonctionnait tant bien que mal. Mais depuis 3 jours impossible de la connecter à mon téléphone. Je ne peux plus m'en servir. Je suis tres déçue ! Je ne recommanderais pas cette marque. Une nouvelle mise à jour s'impose rapidement !!! Merci.",2,6,1,0,0,fr,Huawei Health
Déçue de la mise jour plus possibilité d'arrêter les règles...,3,0,1,0,0,fr,Huawei Health
Il serait peut-être temps de mettre à jour...,1,0,0,1,0,fr,Huawei Health
Comment avoir l'option watch face,3,0,0,1,0,fr,Huawei Health
Très bonne application pour suivre les évolutions sportives !!,5,0,0,0,1,fr,Huawei Health
Gros beug depuis 3 semaines aucune synchronisation disponible une vraie galère,1,0,1,0,0,fr,Huawei Health
Applications stable. Il manque dans les exercices la marche rapide en intérieur sur tapis. Il manque des installations d'applications tierces.,3,2,0,1,0,fr,Huawei Health
Simple et super motivant,5,0,0,0,1,fr,Huawei Health
Très bien,5,0,0,0,1,fr,Huawei Health
Bugs,1,0,1,0,0,fr,Huawei Health
4 étoiles car l'application ne fait pas la distinction entre Marcher et être en VOITURE . Sinon bonne application continuer comme ça .,4,0,1,0,0,fr,Huawei Health
Une bonne application mais dommage qu'on ne peut pas changer la langue d'annonces de distance parcouru.,4,0,0,1,0,fr,Huawei Health
"Peu de paramétrages, très pauvre en cadran",1,0,0,1,0,fr,Huawei Health
Super,5,0,0,0,1,fr,Huawei Health
Depuis aujourd'hui un écart entre le nombre de pas sur la montre et et ceux sur le téléphone. Comment résoudre le problème svp ?,3,0,1,0,0,fr,Huawei Health
Ne permet pas l'association de ma montre Huawei GT2 avec mon oppo find X3 neo 5G alors qu'il marche avec mon Xiami note 4.,1,0,1,0,0,fr,Huawei Health
Il ne faut surtout pas acheter des tel huawei au maroc Aucun service fonctionne Il n'y a pas huawei id au Maroc,1,0,0,1,0,fr,Huawei Health
Je n'arrive toujours pas à écouter la musique via mon téléphone malgré une mise à jour.,4,0,1,0,0,fr,Huawei Health
Vos cadrans pour la honor magic watch 2 sont pourri pour la plupart,3,0,0,0,1,fr,Huawei Health
"Parfait, rien à redire. Fait le travail, sans pub",5,0,0,0,1,fr,Huawei Health
Update : un correctif est disponible via App Gallery de Huawei. Il permet de resynchroniser les temps de sommeil. Ça fonctionne nickel.,5,1,0,0,1,fr,Huawei Health
L'appli manque d'information au niveau sante de la balance😔,3,0,0,1,0,fr,Huawei Health
Peut pas connecter ma montre et ma balance. Car ne les conner pas.,2,0,1,0,0,fr,Huawei Health
"Pour tous ceux pour qui la connection ne fonctionne plus, telechargez le appgallery apk sur le site uptodown. Vous l'installez, et vous le lancez. C'est le playstore de Huawei. Vous cherchez huawei health dans appgallery et vous installez la mise à jour. Pensez à réinitialiser votre montre ou bracelet et puis ça refonctionnera.",5,1,1,0,0,fr,Huawei Health
Nombre de pas et km sous estimés (énormément),1,0,1,0,0,fr,Huawei Health
"ne fonctionne plus avec mon autre montre connectée,impossible de l associer.",3,0,1,0,0,fr,Huawei Health
"Problème compatibilité avec l'application health made pour suivre mon poids on ne peux pas connecter une balance Nokia quel dommage, avez vous une solution ou u'e explication ?",3,0,0,1,0,fr,Huawei Health
Top,5,0,0,0,1,fr,Huawei Health
Pratique assez ergonomique Rien a redire ..... .,4,0,0,0,1,fr,Huawei Health
"Top, facile d'utilisation, juste dommage qu'il n'y ait pas le suivi dynamique pour les appareils qui ne sont pas de marque huawei. C'est mon seul regret, sinon c'est top!!",4,2,0,1,0,fr,Huawei Health
Les cadrans sont devenus payant avant c'était gratuit......,1,1,0,1,0,fr,Huawei Health
Bien,4,0,0,0,1,fr,Huawei Health
"Utile et pratique, elle ne me quitte plus",4,0,0,0,1,fr,Huawei Health
Nul Compliqué a paramétrer Ne reconnaît même pas la gt2 Me demande une mise à jour alors qu'elle est deja faite... Me donne envie de revendre ma montre et passer chez Samsung...,1,0,0,0,1,fr,Huawei Health
Super,5,0,0,0,1,fr,Huawei Health
Top bien comme applis,5,0,0,0,1,fr,Huawei Health
Fonctionne très bien je m'en sers régulièrement a recommander,4,0,0,0,1,fr,Huawei Health
Ok,3,0,0,0,1,fr,Huawei Health
"Très bonne application, fonctionnel et précis",5,0,0,0,1,fr,Huawei Health
J'adore cette application elle compte mes pas... Je vous la conseille sans hesiter,5,0,0,0,1,fr,Huawei Health
Donne accès à de multiples données sur notre activité sportive ! L'unique bémol c'est qu'elle ne prend pas en compte le ski,5,0,0,1,0,fr,Huawei Health
Le jour et la date sont en Anglais ainsi que la recherche du téléphone. Application moyenne.,3,0,0,1,0,fr,Huawei Health
Complète mais de nombreux bugs. Ne reste pas ouverte lors d'un exercice physique. Le temps de sommeil se transfère mal. Dommage.,3,0,1,0,0,fr,Huawei Health
