data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Loved this app for a long time. But the recent updatehas killed it for me.beacause this app all of sudden need permission for access my contacts and all. A big No from my side.i already had uninstall this app.Now searching for better pedometer..,1,4,0,1,0,en,Samsung Health
I enjoy it alot,5,0,0,0,1,en,Samsung Health
"Hello, Samsung! I am hear with entreaty of adding localization or language setting for food list. That's awesome the language connected with shop goods, but I use my phone in English and the app too, the same time I am locating in Russia now, and it's not useful for me to entire some food manually, especially when it's only 100 places.",4,1,0,1,0,en,Samsung Health
Good job...!,4,0,0,0,1,en,Samsung Health
Superb,5,0,0,0,1,en,Samsung Health
I used to rely on this handy app for tracking my walking. Now it wants to monitor and manage my phone calls? I don't think so. And the permissions that are allowed blah blah blah - you DO NOT NEED TO MANAGE OR MONITOR MY CALLS. DELETING app after years of use.,1,4,0,1,0,en,Samsung Health
Removed weight management 👎👎👎,1,3,0,1,0,en,Samsung Health
Very nice app.,5,0,0,0,1,en,Samsung Health
Not able to sign in. Loading circle is spinning in infinite loop Edit: works after latest update,5,1,1,0,0,en,Samsung Health
vary good.But definitely the top ones are cheating .I wish you show age groups like in mapmyrun,4,0,0,1,0,en,Samsung Health
I like the app. But the heart rate and stress test features don't work on my HTC.,3,1,1,0,0,en,Samsung Health
"Disappointing that the sleep tracker disappeared with updates, otherwise I love it.",4,0,0,1,0,en,Samsung Health
Very useful app,5,0,0,0,1,en,Samsung Health
"Very good. I thought it would not work when I got another phone. It's still working on my new phone which is NOT a Samsung. Yes, I love it",5,0,0,0,1,en,Samsung Health
"For the most part I really like the app as it works with my samsung smart watch. However i really hope they make a few changes. 1) be able to search the Fav food items. I eat the same stuff and when i ad it to my favs i have to scroll up and down looking for it and its a pain. 2) be able to edit / delete the My Food entries. If you make a mistake you cant change it or delete it. or at least i can't figure out how. so i create the a new version with same name + 2 3) Bar Code Scanner for nutritional information like every other nutrition app already has. This would be awesome and it already exists in several other apps. 4) expand compatible devices to include scales, and BGM that are available today. I have tried to purchase devices that are compatible but the device list seems to be old. I can't seem to find those exact devices now. 5) better integration with MyFitnessPal. I get a discount on my health insurance if i submit my steps and achieve the goals. But the apps do not seem to be compatible with each other. 6) integrate a web app. would be great to be able to go to a web page and have some reporting, like daily calorie count, step counts, trend etc that i can print so i can take to my Dr. and discuss. On the samsung health website they indicate apps with samsung health and devices with samsung health but there is no links to see what those apps and devices are. I really like having all of the information in one place. there are probably a few more improvements I gave this a 3 star. This app has the potential to be the best app out there. There are other apps that have these features and i am considering going to an iphone and iwatch or fitbit watch to be able to use these features. The other apps don't seem to want to play nice with my samsung watch. just saying.",3,5,0,1,0,en,Samsung Health
More junk,1,0,0,0,1,en,Samsung Health
Lovely,5,0,0,0,1,en,Samsung Health
"This program has some nice features, but unfortunately when you stick it in your pocket . it shuts itself off, which causes the program to be absolutely useless . and if it doesn't shut itself off it turns to music on by itself , this program needs to have a lock where I can lock it in whatever program that you have running weather be hiking , running, we're walking. There should be somewhere where you can shut the music off all that doesn't wear out your battery I would say this program needs a lot of work",2,4,1,0,0,en,Samsung Health
"It used to work properly, now I can upload any new programs under ""discover"". It simply says ""no new item"".",1,0,1,0,0,en,Samsung Health
It opens on its own and I don't even want it on my phone. There should be an option to delete it permanently.,1,0,0,1,0,en,Samsung Health
Very bad dont install it,1,0,0,0,1,en,Samsung Health
Its an awesome app I love it,5,0,0,0,1,en,Samsung Health
Keeps me active and conscious about my health! 💪 ⛹️ 🏃,5,0,0,0,1,en,Samsung Health
No options left to measure anything anymore on Galaxy S20. Completely useless and disappointing.,1,0,0,1,0,en,Samsung Health
"They took my favorite part, they used to have a weight loss part and it was so helpful. They took it away so it's hard to use it as a helpful tool for wright management",2,1,0,1,0,en,Samsung Health
ગુડ આઝદ,5,0,0,0,1,en,Samsung Health
"I have been using this app for almost 4 years to track all my runs, walks and rides, even when I tried out a Garmin Fenix 5... Haven't found anything to complain about and gave back the Fenix 5... it's lasted btw a couple Galaxy phones and is now on my S10.",5,1,0,0,1,en,Samsung Health
Nice super,5,0,0,0,1,en,Samsung Health
"Good with few fixable buts  Just think you'll want to know and improve one annoying problem with this app: if I don't visit the app by the end of the day, all the steps despite reflecting on my Great Watch and even in the trends on this app, do not reflect in together. It's a massive let down. Suddenly, my less active friend is 8k steps plus ahead of me when I know that's not the case. Either fix it or remove Together - it's pointless.",4,0,1,0,0,en,Samsung Health
"except for keeping track of sleeping time and recording what you ate, this app is pretty useless now. the step counter is broken, it recorded 14 steps today while I was working and walking.",2,0,1,0,0,en,Samsung Health
Extensive tracking of what I need,5,0,0,0,1,en,Samsung Health
I love it!!!!!!!!,5,0,0,0,1,en,Samsung Health
Love the food tracker.,4,0,0,0,1,en,Samsung Health
Fantastic👍,5,0,0,0,1,en,Samsung Health
Before it would keep saying the application had stopped multiple times everyday when I was not using it. Now all I have is a green screen with the man running on it. Its not working.,1,0,1,0,0,en,Samsung Health
Love it,5,0,0,0,1,en,Samsung Health
"Unwelcomed automatically downloaded app behaves like a virus and keeps trying to open, even when disabled!",1,0,1,0,0,en,Samsung Health
"From tracking my steps and vitals to monitoring my menstrual cycle, to Joining challenges this app has been my reliable health companion.",5,1,0,0,1,en,Samsung Health
Lmao im not a runner im too old,1,0,0,0,1,en,Samsung Health
Best,5,0,0,0,1,en,Samsung Health
Excellent way of keeping track of all your health habits. Now I know what to improve on.,5,0,0,0,1,en,Samsung Health
Nike+ running doesn't  sync and reflect in the pedometer.,1,0,1,0,0,en,Samsung Health
it doesn't work on S20 FE . It won't measure my heart ♥️ rate or Oxygen.,1,0,1,0,0,en,Samsung Health
Intermittent Fasting is an important practice nowsays. I have started doing it more often. There should be a tab for logging fasting data. The dark mode is pretty nice. The graphs have more contrast now. Looks better. Still the sleep tracking not per Fitbit or Garmin level. The HR accuracy is still an issue.,4,0,1,1,0,en,Samsung Health
Really - a must have app :) keeps you healthy and active! Probably the best application for tracking your lifestyle.,5,0,0,0,1,en,Samsung Health
"I just got an active watch and I am not able to log into this app. I have read several comments in samsung community websites, and everyone is experiencing the same issue. Someone also said a week ago that they call the customer service and that it seems that the new version is not working with phones that are not Samsung because now ""they are incompatible"". This is totally unfair from the company. This has not been announced. We need a solution that does not imply calling a foreign number.",1,11,1,0,0,en,Samsung Health
Will not use with the new permissions required. This app will never be allowed to make or receive phone calls for me. The reason for the request is immaterial there is nothing I want from this app that requires my phone number. I have had a long string of issues with Samsung products and support which is why I no longer use their phones and now I will no longer use your apps. It seems I am not the only one who has an issue with the required information either.,1,3,0,1,0,en,Samsung Health
LOVE IT😍,5,0,0,0,1,en,Samsung Health
I love using this app. It is good motivation to keep active.,5,0,0,0,1,en,Samsung Health
Excellent,4,0,0,0,1,en,Samsung Health
"I love the idea, I love the simplicity of the app... but why is menstrual cycles listed under women's health? I'm a man that gets a period, I would've figured that Samsung would be at least a little progressive and keep the ""women's health"" part out of this. Totally unnecessary.",2,1,0,1,0,en,Samsung Health
It does not keep the right track of how many miles you walk !,1,0,1,0,0,en,Samsung Health
This app is awsome,5,0,0,0,1,en,Samsung Health
"So far this app is great, but it lacks a few features that I have seen on other apps and tools. I would like see the ability to manually enter calories burned as well as manipulating the settings for treadmills, ellipticals, etc. since the app seems to only go off of one setting. Would like to be able to enter data for speed, resistance, incline, etc. Second thing is I would like to see a net calories tool, something that will show (Intake - Exercise = Net). Other then that, this app is pretty good.",4,1,0,1,0,en,Samsung Health
love it,5,0,0,0,1,en,Samsung Health
"I love this App because it's on my phone and I always have that with me. You can track your meals, weight, heartrate, Oxygen saturation, even Stress! And it keeps track of all the steps you take as long as the phone is on you. It's a great App and I haven't had any problems with it at all. I've been using it for almost a year and it really helps with diet and exercise!😊😊😊",5,1,0,0,1,en,Samsung Health
Could you please add hr data to gpx file?,4,0,0,1,0,en,Samsung Health
Wants access to make phone calls. Won't open without it. Upd: The answer regarding providing optimal experience is ot an answer at all. I don't need an experience when an app makes phone calls for me.,1,2,1,0,0,en,Samsung Health
good,5,1,0,0,1,en,Samsung Health
Ok,5,0,0,0,1,en,Samsung Health
wonderful,5,0,0,0,1,en,Samsung Health
The best app of its kind😎Used every day,5,0,0,0,1,en,Samsung Health
Aftr update my samsung watch failing to detect any activity pls fix the issue,2,0,1,0,0,en,Samsung Health
Can't be right Says there's no oxygen in me,1,1,1,0,0,en,Samsung Health
Very funny and usefull,5,0,0,0,1,en,Samsung Health
"Love this app, it is good to help you with stress and just help you relax!! Thank you so much!!",4,0,0,0,1,en,Samsung Health
Constantly updates on its own. I use other ways to track my health.,1,0,0,0,1,en,Samsung Health
piss off,2,0,0,0,1,en,Samsung Health
I went on a 2k run and it said I got 52 steps,1,1,1,0,0,en,Samsung Health
Where did the leader board go?! Talk about a bummer. That was some serious motivation!,3,1,0,1,0,en,Samsung Health
Good,5,0,0,0,1,en,Samsung Health
"Was in the top 5% of total users, now at 25% because is hasn't tracked my steps in three days!!!",1,1,1,0,0,en,Samsung Health
"I like that it tracks my steps, but for some reason I cannot locate the ""total steps"" or the s health data or even the pedometer settings to possibly change it.. Ive updated and searched and cannot seem to change it. Its very aggravating, my friend has the same phone and he even tried to help with changing it but its nowhere to be found. On youtube videos my screen doesnt even appear the same as people showing the settings so I cant use that to try and work through it, but mostly Im thinking it shouldnt be difficult to find or change these settings, but it seems they are no where to be found on my phone! (galaxy s5) All I would like to see is the total amount of steps I have taken and its nowhere to be found!",3,0,1,0,0,en,Samsung Health
Where the heck did the pulseox go ?,1,0,0,1,0,en,Samsung Health
amazing experience,5,0,0,0,1,en,Samsung Health
Oh my goodness I've downloaded so many but this is the best app for workout or just your everyday shopping! Thank you to whoever made this app. Made my workout worth something. I got to see the results after! %100 best app ever!,5,0,0,0,1,en,Samsung Health
Workout 1 hour,5,0,0,0,1,en,Samsung Health
This app has been great for me,5,0,0,0,1,en,Samsung Health
This used to be a really good app. Worked all the time. But of late it's just not logging anything. Not even step count. Constant white screen. Have to force stop then restart. I'm going to look for another app that works.,1,0,1,0,0,en,Samsung Health
Ki,5,0,0,0,1,en,Samsung Health
Doesn't have o2 reader like the older one does,1,0,0,1,0,en,Samsung Health
So far the most helpful and accurate app that I've tried.,5,0,0,0,1,en,Samsung Health
"Since the update I find it to be terrible. I have reverted to the original version (no exaggeration... )12 times now that came pre installed on my phone numerous times and unchecked auto update, yet this app keeps updating to the current version on its own. I've contacted Samsung and low and behold it just did it again. Kindly fix this FOR GOOD and I'll revise the rating again.",1,2,1,0,0,en,Samsung Health
I use this app everyday. It's brilliant,5,0,0,0,1,en,Samsung Health
Getting better all the time,5,0,0,0,1,en,Samsung Health
"I used to use the s health app on my s5 and it would drain the battery like crazy and that was from just tracking my steps. Now I use it for so much more and when it comes to my battery I can hardly tell I've used it, if that makes sense. The only negative is I had to turn the auto pause off because it kept pausing in the middle of me running even though I never stopped. After that, I have no issues. Great app. Thanks Samsung!",5,0,1,0,0,en,Samsung Health
love this app!! keeps me moving and reminds me tomeet my goals,5,0,0,0,1,en,Samsung Health
Sleep and fitness tracker are awsome,5,0,0,0,1,en,Samsung Health
Nice and supportive App to help out for daily and routine activity but need 1 update in app to be added floor up & down count item in Samsung J5,4,0,0,0,1,en,Samsung Health
Great application to measure your activeness,5,0,0,0,1,en,Samsung Health
"I think this app has a lot of potential but I would really like to see them and garmin get together. That way I don't have 3 diffrent apps tracking my fitness they could all work together. If I run or walk with my vivoactive it registers on s health, as well as my heart rate from my strap does not work with the app. It would be very nice if the could merge, likewise those with fitbit should be able to have the same capabilites.",3,0,0,1,0,en,Samsung Health
"i love it, thaks for this good app.",5,0,0,0,1,en,Samsung Health
Would be 5 stars if I could turn off NFC. I have a device for my diabetes that needs NFC and having to select which app to use for NFC is really irritating. Please give an option to turn it off for this app.,4,0,0,1,0,en,Samsung Health
It would be nice to have a calendar section to see how consistant my work out have been. Runkeeper is far superior in every way. It tracks more activities and more data for each. The only reason I use this at all is because I have the Samsung Gear S smart watch and run keeper is not compatible with my watch.,2,0,0,1,0,en,Samsung Health
👍,5,0,0,0,1,en,Samsung Health
When they did the lollipop update they cause S Health to stick leaving a paused shoe running constantly May the phone overheat a lot then they did the marshmallow update my phone nearly caused the fire Phone top out of a hundred and sixty degrees after doing the marshmallow update then the phone reboot it twice before it hit a hundred sixty degrees,1,0,1,0,0,en,Samsung Health
Two step and using phone features for a health app!? No thanks.,1,2,0,1,0,en,Samsung Health
Love this app,5,0,0,0,1,en,Samsung Health
Nice app,5,0,0,0,1,en,Samsung Health
This app was great when i firat started using it a couple of years ago. Now after the last update cant keep it on. Click the icon and the start screen appears then closes. Cant keep it open. The widget counts my steps but cant open the app. Tried numerous times to unistall and reinstall with no luck. Wish i could find another app to use between my watch and phone as this app does not work,1,0,1,0,0,en,Samsung Health
Best fitness app,5,2,0,0,1,en,Samsung Health
"Best health app I have found! My only problem is the week summeries no longer work, it told me all for the first week and has not updated since. Please tell me how to fix this??? Apart from that it has everything combined that you could want, calorie counter, pedometer and lots of different work outs to choose from. Have food and exercise combined means I can overindulge some days and then work off the extra calories with the same app!! Well done guys :)",4,0,1,0,0,en,Samsung Health
Please bring back the old pedometer display on the app the new one looks horrible hard to share my work out if I want to screen shoot it it looks like crap…  also would be nice if you could make samsung galaxy gear fit apps by samsung not by random people worries me that those apps might not be so safe… better display for the sleep tracking would be great everything else is ok,2,1,0,1,0,en,Samsung Health
After reeboting my device SHealth stopped working,1,1,1,0,0,en,Samsung Health
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,4,0,0,1,0,en,Samsung Health
Good app. The monthly challenges are really useful for motivation.,5,0,0,0,1,en,Samsung Health
Excellent App,5,0,0,0,1,en,Samsung Health
great app,5,0,0,0,1,en,Samsung Health
Weird App Authorization Required. It won't let me use the app unless I let the app make phone calls. Doesn't tell me why. Uninstalled.,1,0,0,1,0,en,Samsung Health
Would give 4 but they took down a very vital feature like calorie management.,3,0,0,1,0,en,Samsung Health
Keep me on pace of my walking hoal,5,0,0,0,1,en,Samsung Health
I am motivated to be healthy 💪,5,0,0,0,1,en,Samsung Health
Give u a push to keep goin,5,0,0,0,1,en,Samsung Health
Cool app,5,0,0,0,1,en,Samsung Health
I had give this app 5 stars but I should take back one. Where is nutrition balance score after new update? I used to decide which snack to eat by adding it and see how the score changes before eating my snacks.,4,0,0,1,0,en,Samsung Health
Usefull,5,0,0,0,1,en,Samsung Health
Enjoy life!,5,0,0,0,1,en,Samsung Health
Nice,5,0,0,0,1,en,Samsung Health
Love it.,5,0,0,0,1,en,Samsung Health
Very user friendly,5,0,0,0,1,en,Samsung Health
Barcode scan for food will be nice,4,0,0,1,0,en,Samsung Health
"I used to trust this app, it was very good but recently has not been counting my steps property. I walked the dog for 80 minutes this morning covering six kilometres but the app recorded only 5 mins and less than 500 steps!",3,1,1,0,0,en,Samsung Health
The app has stopped counting my steps.,3,0,1,0,0,en,Samsung Health
"Its great to use! The only thing i could say is, you need to update the list of food on it! Like new flavours of chips or drinks! :)",5,0,0,1,0,en,Samsung Health
Good for health,5,0,0,0,1,en,Samsung Health
"After new update, I can't link with AIA vitality app.",2,0,1,0,0,en,Samsung Health
"This is a good app when it actually works. It's extremely annoying after finishing a bike ride to discover the app has decided it did not want to record your journey. It either states that you have cycled for 30 mins for eg but have travelled 0 miles OR, more commonly, it pauses the workout after about 7 seconds and fails to record you have even done a work out! This obviously skews your active minutes for the day. It seems like it's only accurate as a pedometer!  It's worse in the winter months for actually working but appears to be failing in the warmer months too now. If it's a warm clear sunny day then great, it may actually work properly.....but I won't hold my breath!  So, it started off great but it's steadily declined into just being infuriating and temperamental......unless U want a pedometer",3,0,1,0,0,en,Samsung Health
"I've just started using this app and so far it seems ok.  Since I'm traveling during the holiday season,  beverage choises can be limited. I had soda one day (for the caffine in-lieu of coffee) and couldn't figure out how to input that into the S Health app.",3,0,0,1,0,en,Samsung Health
Love how accurate it is. So fun to look at how many steps I've taken throughout the day. Love the challenges as well.,5,0,0,0,1,en,Samsung Health
Love it. Heart monitor matches my GP. Would love to know if or how I can change the micronutrients percentages.,5,0,0,1,0,en,Samsung Health
Health,5,0,0,0,1,en,Samsung Health
I love all the challenges that you can take part in to help keep you motivated. I was worried I wasn't going to be able to monitor my menstrual cycle (I used to have a fitbit which was great for this) but glad that this is also included,5,0,0,0,1,en,Samsung Health
Stopped working after a couple of months,1,1,1,0,0,en,Samsung Health
Great app for keeping yourself motivated to get out and get some excersize,4,0,0,0,1,en,Samsung Health
this is xcilnt apps...i like it.....tnq sumsung group,5,0,0,0,1,en,Samsung Health
"2 months and 2 updates in.STILL Terrible at tracking. STILL records running when I walk. 1.5 hour walk = 13 minute run according to this app. Recorded 43 min of 'walking' over 4.5km when I was biking 15km. STILL TO THIS DAY, no ability to correct the app when it's wrong. Auto start/stop when tracking workouts just stops for no reason and starts up at random. It just. Doesn't. Work. Constantly trying to restart it or fix it interrupts your workout. More of a headache than what it's worth.",1,18,1,0,0,en,Samsung Health
Latest update removed weight management and caffeine intake which were a significant factor in keeping this app. Hopefully your people will reinstate these as soon as possible. Most of the peripheral information is of no interest to me. I'll be looking for another app if the above can't be fixed!,1,2,0,1,0,en,Samsung Health
It's one of my favorite training app.,5,0,0,0,1,en,Samsung Health
Awesome app,5,0,0,0,1,en,Samsung Health
"update has ruined the app, and made my s3 useless. Roll it back, or i will be trying new hardware. silllly, and it seema like i am not alone as the app score has gone waaayyyy down because of this reason.",1,0,1,0,0,en,Samsung Health
very good app 👍,5,0,0,0,1,en,Samsung Health
"Excellent. Helps me reach my exercise goals each day. My only complaint is the voice used for Australia. The woman's voice sounds like she is positively BORED TO DEATH. Not exactly helpful when a bored and decidedly lethargic voice tells you you are ""nearly there"" with ZERO encouragement other than to say ""you're nearly there"" in the same voice which, frankly, would make many people just want to give up. Also, the voice says ""duralation"" instead of ""duration"". Ha ha, where on earth did that come from? But, as I said, apart from the voice used, is a great app in my Note 4 and will be sorry when the day comes to change phones, as I will be leaving Samsung, after a number of years, as I do not accept this new format with no changeable battery and no SD card. Sorry Samsung, you had the best products on the market, then wrecked it by copying that Apple trash.",5,1,0,1,0,en,Samsung Health
Why with M31 stress measurement is not enabled?,4,0,0,1,0,en,Samsung Health
It is very good.,5,0,0,0,1,en,Samsung Health
"I cannot remove this damn app from my device!! I try to uninstal and it only allows uninstal for updates, to make things worse it boots up every time i look at the phone, even on calls...Infuriating!",1,1,1,0,0,en,Samsung Health
"It make you challenge your self , against the world",5,0,0,0,1,en,Samsung Health
OK. i wiil retry it.thank you.,3,0,0,0,1,en,Samsung Health
"I would recommend that the programmers of this app either team up with Fitness Pal, or some other corporation and look at the way that they allow people to input food and drinks for monitoring your caloric intake for the day. I would also suggest the barcode scanner option. Other than that so far I'm happy with the app.",4,0,0,1,0,en,Samsung Health
Lots of tools to use easily,5,0,0,0,1,en,Samsung Health
Great. Still getting the hang of it,4,0,0,0,1,en,Samsung Health
"awesome app. I use it every day. i wish it had an option to plan the next day. I prep my meals ahead of time to avoid overeating but I have to wait to enter the plan for the day until the morning. I am just guessing when I prep the night before. also, while i would rarely use it, it would be nice to be able to scan foods into the log. these two items would make this a six star app for me.",5,0,0,1,0,en,Samsung Health
Seemed great but for some reason it keeps telling me I'm over my calorie goal even though it shows I'm still way under in Weight Management. It was working fine until a couple days ago.,4,0,1,0,0,en,Samsung Health
Wonderful way to find bad patterns affecting your health,5,0,0,0,1,en,Samsung Health
very convenient app that helps me stay involved with healthy habits,5,0,0,0,1,en,Samsung Health
"Less intuitive after the update, and I miss the walking challenges. I also wish I could track what time each cup of water is input, because I can never remember.",3,0,0,1,0,en,Samsung Health
It's  great,4,0,0,0,1,en,Samsung Health
Cant open app please resolve issue,5,0,1,0,0,en,Samsung Health
I'd love it but I can't track my heart rate and my stress levels on my Samsung a5 but my boyfriend can on he's s5 😢,2,0,1,0,0,en,Samsung Health
Normal,1,0,0,0,1,en,Samsung Health
Good application for fitness.,4,0,0,0,1,en,Samsung Health
Love you,5,0,0,0,1,en,Samsung Health
Helpful useful,5,0,0,0,1,en,Samsung Health
"I had my my s7 version of this app and everything there is complete..i can measure my stress level, heart rate and oxygen sat..i was surprised that the version of the app in my note 10 doesnt contain all these features. Just disappointing",3,1,0,1,0,en,Samsung Health
Good app easy to use,5,0,0,0,1,en,Samsung Health
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",5,1,0,1,0,en,Samsung Health
"It was amazing until steps stopped counting after phone software updates. Reinstalled the app twice, Paused and resumed step counting and all but still not functioning well. Using Mi Max, MiUI 8 here...",4,0,1,0,0,en,Samsung Health
"I used this app on galaxy S6 app for years and that was awesome, Recently I've installed on my new phone. But step counter pause periodically and it counts maybe 1/5 of my steps. That's a pity I loved this app previously",2,0,1,0,0,en,Samsung Health
spr app,5,0,0,0,1,en,Samsung Health
This app is fantastic. Syncs with galaxy watch. Would also be great if there was an option to track medication on the app as well that syncs with the watch.,5,0,0,1,0,en,Samsung Health
"Worked great for a while. Now takes a long time to bring up my ""favs"" in the nutrition area of the app.",1,0,0,1,0,en,Samsung Health
What does managing my phone calls have to do with using this app? I could see if it was something relevant...but managing PHONE CALLS! None of my other health apps need to manage my phone calls for me to use them. This app is no longer easy to use due to its attempt to force me to agree to managing my PHONE CALLS!,1,6,0,1,0,en,Samsung Health
excellent app I can keep truck how active I'm,5,0,0,0,1,en,Samsung Health
Why Would an app want to control all of my phone calls?,1,0,0,1,0,en,Samsung Health
"Won't let me varify the given code while setting up the 2 step varification, or if I skip it the app won't connect to my wifi. Would love to use this app.",1,1,1,0,0,en,Samsung Health
I just wished I didnt update samsung health.. I really hate the fact that i cant use it without giving it access to my contacts. I've been using this for so long.,3,3,0,1,0,en,Samsung Health
"Every time I place my phone on the table or I jolted my hand when the phone is in my hand, the ""Welcome to S Health"" will pop up. It's annoying and disrupting my work/job.",1,0,0,1,0,en,Samsung Health
Samsung Health has really helped me to increase my overall health.,5,0,0,0,1,en,Samsung Health
This very nice app .its keep us motivated with challange. Overall good,5,0,0,0,1,en,Samsung Health
Just wish that you could scan your food items,5,0,0,1,0,en,Samsung Health
"I have used this app for several years. I am on my second Samsung watch. Whatever happened in the last upgrade on march 7th, messed up the weekly summaries. My last summary war mar 6-12th. I am unable to switch them back on as I can't find the setting for it.",2,1,1,0,0,en,Samsung Health
Super!!!,5,0,0,0,1,en,Samsung Health
I like it i really never liked walking now i do,5,0,0,0,1,en,Samsung Health
"I like the app I use it every day for fitness & to keep track of my sleep,weight,water intake,exercise and heart rate. You can do fitness programmes,meditation and challenges with your family & friends.",4,0,0,0,1,en,Samsung Health
App is working on Android 10 successfully now,4,1,0,0,1,en,Samsung Health
super,5,0,0,0,1,en,Samsung Health
