data,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Application très light par rapport au marché. Mise à jour instable.,1,0,1,0,0,fr,Samsung Health
L'application refuse de s'ouvrir en m'indiquant que mon S7 est rooté alors qu'il ne l'est pas.,1,1,1,0,0,fr,Samsung Health
Impossible d'avoir accès à l'application !!!.trop compliqué avant s'était hyper simple,1,1,1,0,0,fr,Samsung Health
Très bien situé,5,0,0,0,1,fr,Samsung Health
"J'adorais cette appli comme tout le monde, mais les dernières mises à jour se permettent une inclusion ds la vie privée inacceptable, accès appels, contact, géolocalisation.. si cela n'est pas revu, je boycotte non seulement l'appli mais samsung. C'est aberrant. Dans l'attente d'une réponse.",1,24,0,1,0,fr,Samsung Health
"Diminution de l'intérêt Avec cette dernière version les génies de la programmation ont retiré les statistiques des km parcourus par jour, semaine, mois. C'est STUPIDE",1,1,0,1,0,fr,Samsung Health
Je n'ai plus les phases de sommeil depuis qqs jours et c une des choses pour laquelle j'ai acheté cette montre,2,0,1,0,0,fr,Samsung Health
Bonne application et pratique,3,0,0,0,1,fr,Samsung Health
cool,5,0,0,0,1,fr,Samsung Health
très bonne appli,5,0,0,0,1,fr,Samsung Health
Depuis 2 semaines mon appli se met en pause lorsque je marche e !! Dommage  parce qu'avant ça j'aurais mis toutes les étoiles,2,0,1,0,0,fr,Samsung Health
J'arrive à régler mon routine quotidien et à surveiller ma santé grâce à cette app là!! Vraiment elle est devenue incontournable pour moi. Edit: depuis la dernière mise à jour de mi janvier j'arrive à avoir des problèmes concernant la non fonctionnalité des notifications et le blocage de l'app à cause de ce dernier 😤😡 c ennuyant,4,0,1,0,0,fr,Samsung Health
Très bon,5,0,0,0,1,fr,Samsung Health
Très bon appli,5,0,0,0,1,fr,Samsung Health
Non pas facilement,4,0,0,0,1,fr,Samsung Health
J'aime moyennement,3,0,0,0,1,fr,Samsung Health
Depuis la dernière MAJ je fais à mon avis beaucoup de kms même en restant à la maison et en posant le téléphone je fais plus de 6kms c'est formidable tout est complètement faux revoyez vite cette MAJ comme avant sinon elle ne me sert à rien,2,0,1,0,0,fr,Samsung Health
bon,5,0,0,0,1,fr,Samsung Health
Des beugues enregistrés recemment sur le suivi gps du positionnement.,3,0,1,0,0,fr,Samsung Health
"Cette application est juste géniale,car elle nous motive vraiment et nous permets de nous fairent réellement du bien. Alors merci Samsung❤️😊🐰",5,0,0,0,1,fr,Samsung Health
A du mal à synchronisé depuis la mise à jour,2,5,1,0,0,fr,Samsung Health
"cohérence du nombre de pas, pas toujours correct, sinon très intéressant.",4,0,1,0,0,fr,Samsung Health
