data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Depuis la dernière mise à jour je n'arrive plus à transférer des entraînements depuis l'application sur ma fenix 5. ..,35,5,0,1,0,0,fr,Garmin Connect
"Last update is HORRIBLE! FIX THIS PLEASE! I no longer can answer calls from my watch and now my watch goes off like I'm getting an incoming call, while I am on the phone with the person my watch is saying is calling me?! Even when I initiated the call. Since no option to decline the call theres nothing I can do but let my watch go off or power it down. Very ANNOYING and it happens multiple times dirruing a call! Please fix!",4,1,73,1,0,0,en,Garmin Connect
"impossible de rajouter ma carte pour le Garmin pay. ""carte pas autorisée """,23,3,0,1,0,0,fr,Garmin Connect
Great app and would give more stars if the active minutes actually worked. I did a full body strength workout for 1 1/2 hour and still no recorded active minutes! It is irritating!,0,2,2,1,0,0,en,Garmin Connect
Not working at all,20,1,0,1,0,0,en,Garmin Connect
GC is a very easy way to keep track of your fitness and health. It works well for me. The only problem is that smart notifications isn't always properly removed from the watch...,21,4,0,1,0,0,en,Garmin Connect
It doesnt record your activities even though it's suppose to.,24,2,0,1,0,0,en,Garmin Connect
Connexion impossible... Au prix de la montre c'est inadmissible...,8,1,0,1,0,0,fr,Garmin Connect
"Au secours ! Depuis la dernière mise à jour (21/08/2020), plus de synchronisation possible. Le modèle 735 XT n'est plus reconnu par mon HUAWEI Mate 20 Pro. Quel dommage ! Tant de fonctions indispensables... Merci aux développeurs de publier un correctif.",35,1,9,1,0,0,fr,Garmin Connect
Association impossible entre forerunner 30 et smartphone honor depuis leur  dernière mise à jour avant ça marché très bien et aucune solution n'est  apporté par Garmin ! Ça donne envie de repartir chez le concurrent !!,22,1,0,1,0,0,fr,Garmin Connect
"Depuis la dernière maj, plus de synchronisation possible avec mon smartphone Samsung Galaxy A5... grrrr",35,3,0,1,0,0,fr,Garmin Connect
The app din't sync data between GPSMAP 64s and Nexus 5.,36,2,0,1,0,0,en,Garmin Connect
"Since update no forerunner sync with phone, tried all the recommended actions, no can't even upload via wifi as watch not linked with app. GARMIN PLEASE FIX ASAP",35,1,0,1,0,0,en,Garmin Connect
Works pretty well. Small problems qoth syncing but that could be from my device also. 8.5 out of 10,35,4,0,1,0,0,en,Garmin Connect
Connection issues to main server.,28,1,0,1,0,0,en,Garmin Connect
L'application ne tient pas compte de tous les sports que l ont fait dans la journée.,24,2,0,1,0,0,fr,Garmin Connect
"Depuis mon nouveau smartphone, ma Garmin se déconnecte dès que je ferme l'application.",8,2,0,1,0,0,fr,Garmin Connect
Pas compatible avec Samsung Grand plus,7,2,1,1,0,0,fr,Garmin Connect
"Smart notifications don't function unless the App is running. I.e. Garmin insist on having their spying, battery draining App open on your personal phone ALL THE TIME. Don't buy a Garmin watch unless you want them to record everything about you, not just the exercise you do.",21,1,0,1,1,0,en,Garmin Connect
"8 mise à jour en 1 mois et..... toujours rien qui marche, échec connexion à l'appareil. Bravo à tout les ingénieurs, informaticiens car grâce à vous , j'ai vendu ma foreruner   235 pour passer à la concurrence et devinez quoi 😁 .... Ça marche 👍 Bye bye Garmin 👎",8,1,22,1,0,0,fr,Garmin Connect
"Ever since the latest update, when sharing to Facebook, it shares everything in km instead of miles... Really annoying",38,3,0,1,0,0,en,Garmin Connect
Bug avec mon Huawei : les applications désactivées dans les notif intelligentes sont réactivées inopinément. Dispo pour feedback si besoin.,21,4,0,1,0,0,fr,Garmin Connect
All the sudden I can not get my Vivoactive HR to sync with my cell phone any idea why?,35,2,1,1,0,0,en,Garmin Connect
Plus de couplage avec ma vivoactive HR,22,1,0,1,0,0,fr,Garmin Connect
"Samsung s6, verified by Verizon device health check to be holding wake locks, consuming my battery this past week. Otherwise great app and will revise rating when corrected. Love my Vivosmart hr",1,3,0,1,1,0,en,Garmin Connect
Depuis 1 semaine impossible d'avoir mes données de sommeil de body batterie Après plusieurs désinstallation de l'application rien ne change,29,3,0,1,0,0,fr,Garmin Connect
It doesn't work since update,20,1,0,1,0,0,en,Garmin Connect
this was unexpected to see a poorly developed app from Garmin. I am unable to sync my activities and have to copy the files to computer. please fix.,36,1,0,1,0,0,en,Garmin Connect
Depuis plusieurs jours impossible de connecter ma vivomove HR à mon appli Smartphone. Message laissé sur le site Garmin et personne ne m'a recontacté.,8,1,1,1,0,0,fr,Garmin Connect
Depuis la MAJ m'a montre est en anglais et impossible de ma remettre en français !!!,14,1,0,1,0,0,fr,Garmin Connect
Problème de serveur récurent,28,1,0,1,0,0,fr,Garmin Connect
Synchronisation impossible avec ma forerunner depuis la dernière MAJ,35,1,0,1,0,0,fr,Garmin Connect
Déçu !! Obligé de réinstaller tous les jours l'application pour les notifications intelligentes...ça marche une journée...et pof ce ne fonctionne plus le lendemain !!Très pénible...que se passe-t-il ? Tout est déverrouillé sur mon tph!! pénible !! Pouvez vous faire quelque-chose ? Merci !!,21,1,5,1,0,0,fr,Garmin Connect
"Plus d'historique pas ,FC ,etc depuis la mise a jour...",10,5,1,1,0,0,fr,Garmin Connect
"Use to have no issues, lately im having no end of device connection issues and also Bluetooth syncing issues, spent £120 on a Bluetooth enables garmin because I have limited computer access, but Bluetooth is just shocking",2,1,0,1,0,0,en,Garmin Connect
