data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Is not work offline,44,4,0,0,1,0,en,Huawei Health
"Functions well but need to install huawei apps separately. I guess it is due to the non business ethic that Google do. Just need email, no phone number required. Huawei need to catch up auto installation from google play store.",28,4,0,0,1,0,en,Huawei Health
"Dommage pas de fonctions réveil et une autonomie peu élevée, mais fait son job",0,4,0,0,1,0,fr,Huawei Health
Apk française mais audio en anglais,30,2,1,0,1,0,fr,Huawei Health
"They ask too much permissions that too mandatory.. Govt of india is correct in banning othere chinese apps. Why you need phone, call, location and so much ser use data analytics that too not optional ?",47,1,0,0,1,0,en,Huawei Health
Je ne peux plus personnalisé mon cadran avec des photos de la galerie.,70,1,0,0,1,0,fr,Huawei Health
Manque d'activités sportives. Et ne se connecte pas avec garmin😢,32,3,0,0,1,0,fr,Huawei Health
Très bon design.... Application complète... Pensez à balayer le menu pour  accéder au rythme cardiaque.,24,5,0,0,1,0,fr,Huawei Health
"I have honor band 4,I need spo2 option for my band, but this option is not available, although some of band 4 have this option, what can I do",60,3,0,0,1,0,en,Huawei Health
"Very limited Faces available for Huawei Band 4, Expecting more Faces and Features for all devices.",69,2,0,0,1,0,en,Huawei Health
"with new emui, had to disable all notifications of Health: began receiving useless and frequent daily notifications on ""hey view your sleep report"", ""you can track your exercise"" 🤦‍♂️🤦‍♂️🤦‍♂️ (as if gmail started spammig ""you can send emails with gmail""). I will miss the 20K/day steps cheer notification :'(",43,1,1,0,1,0,en,Huawei Health
"Bonjour,J'ai une huawei watch gt active orange.Toujours marché super bien, l'application est au top ! Mais il y a quelques chose qui me dérange légèrement un peux, c'est que l'on peux pas rajouter de programme à la montre quand ton veux faire du sport, je m'explique. Si je veux faire du vélo et que je veux être à certains moment à 135bpm pendant 15 min et juste après à 165bpm pendant 7min etc. Serait bien t'intégrer une vibration au moment où il vaudrai changer de rythme cardiaque... Cordialement",49,4,1,0,1,0,fr,Huawei Health
Application assez complète mais il manquerait la prise en compte du dénivelé,11,4,0,0,1,0,fr,Huawei Health
when we will get watch faces option in app,69,4,0,0,1,0,en,Huawei Health
Dommage que l'on puisse pas exporter les parcours...,13,3,0,0,1,0,fr,Huawei Health
Le langage n'est pas français,30,3,0,0,1,0,fr,Huawei Health
Add discovery app under data sharing.,54,3,0,0,1,0,en,Huawei Health
"Calcul de longueur de pas très approximative, 159cm et je ferais des pas de 90cm ? Du coup distance complètement fausse. On ne peux pas modifier la longueur de pas. 😕",61,3,0,1,1,0,fr,Huawei Health
Plz I request you that you should allow third party apps for watch facesfor honor band 5 so that it can have unlimited watch faces as mi band 4,69,3,0,0,1,0,en,Huawei Health
It would be better with custom faces e.g. Add and remove different things on them etc. Overall very good,70,5,0,0,1,0,en,Huawei Health
"Application plutôt bonne dans l'ensemble, surtout le ""suivi dynamique"" qui est un gros + pour ma pratique. Dommage que mon dernier parcours ait un tracé GPS erroné par contre ( de plusieurs dizaines de mètres), je ne sais pas si ça vient de la montre ou de l'appli. Très dommage aussi qu'on ne puisse pas avoir un tracé GPS en sport nautique type voile car c'est mon utilisation principale et je suis obligé de rester en mode cyclisme pour avoir l'historique de mon circuit ☹️",17,4,0,1,1,0,fr,Huawei Health
Add an option in which we can apply our own wallpaper in the band please it's a request otherwise the aap and fitness band is good,70,3,0,0,1,0,en,Huawei Health
L'export des données (vers Strava ou simplement . GPX) est impossible. Sinon correcte,13,3,0,0,1,0,fr,Huawei Health
"UI is clean and user friendly. I just wish it would sync/share workout data with Myfitnesspal and/or Samsung Health. Says a software update is available in the app, but not via google app store. In-app update then fails to install after downloading. Weird.",35,3,0,0,1,0,en,Huawei Health
"Just specify your smart watch variants are incompatible with some phones. I had already ordered your honor smart watch, watched an online review and found out I couldn't download your app to support the phone. I tried it for myself and your health app couldn't open. Spent the whole day trying to get my refund. You have great accessories but these are info people need to know.",8,1,0,0,1,0,en,Huawei Health
J'aimerais connecter l'application santé avec ma FITBIT charge 4. Serait-il possible ?,46,3,0,0,1,0,fr,Huawei Health
I wish features are the same for both iOS and Android.,73,3,0,0,1,0,en,Huawei Health
"C pas mal MAIS ca ne détecte pas tout les mouvements, notamment ceux que le velo elliptique !",65,4,0,0,1,0,fr,Huawei Health
Please bring a feature to add some custom watch faces.....please...,70,3,0,0,1,0,en,Huawei Health
Plz improve the app UI.. It's Full of bugs and needs to be more colorful and informative.,18,1,0,0,1,0,en,Huawei Health
Pas sur sur le temps de sommeil mais le reste est parfait,57,4,0,0,1,0,fr,Huawei Health
Elle fait le job.  Je l'ai associée avec la montre huawei sport watch.  Bémol par rapport aux phases de sommeil non modifiables quand on regarde la tv par exemple ça compte une sieste.  En dehors de ça je n'ai pas relevé de dysfonctionnement. Un plus serait de pouvoir accéder à son profil via un site si on n'a pas envie de rester plonger sur son téléphone.,57,3,4,0,1,0,fr,Huawei Health
Why watch faces become charged not free,71,5,0,0,1,0,en,Huawei Health
Dommage que la connexion 4g soit indispensable pour fonctionner.,44,4,0,0,1,0,fr,Huawei Health
It would be nice to have the option to edit the sleep start and end times(like on fitbit app) sleep times are not always accurate.,58,4,0,0,1,0,en,Huawei Health
"The app is of no use after recent update, it is forcing me to install addtional app",28,1,0,0,1,0,en,Huawei Health
"There should be an auto pause function for outdoor cycle mode. I have to manually pause every time I stop and more often than not, I forget to press resume and the app is not recording my progress",1,2,0,0,1,0,en,Huawei Health
Manque de possibilité d'ajouter d'autre exercices,32,3,0,0,1,0,fr,Huawei Health
Il manque aussi la partie musculation dans les activités sportives.... Et à quand le double tape sur l'ecran pour l'allumer ?,32,1,2,0,1,0,fr,Huawei Health
Pas de version française. Intuitif mais bugs réguliers.,30,3,0,1,1,0,fr,Huawei Health
En attente de la compatibilité avec STRAVA,63,3,0,0,1,0,fr,Huawei Health
Add the ability to turn off or on Bluetooth in the smart watch.,4,1,0,0,1,0,fr,Huawei Health
Se déconnecte tout le temps de xiaomi. J'attend une mise à jour ... Pas la possibilité d'avoir les traces GPX de ce que l'on a fait en course ou rando.,13,4,0,1,1,0,fr,Huawei Health
Dommage que ce ne soit pas en français,30,4,0,0,1,0,fr,Huawei Health
Useless without internet.,44,1,0,0,1,0,en,Huawei Health
İ couldnt use band as music controller,34,1,0,0,1,0,en,Huawei Health
