data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
J arrive ps avec sommeil et cardio faut il mettre autre applications,31,1,0,1,0,0,fr,Huawei Health
Je n'arrive plus à voir toutes mes données,8,1,1,1,0,0,fr,Huawei Health
So just got my Honor MagicWatch 2 and now I can't even use it??? What the actual hell! I wasted my money on a smart watch that can't even function as a watch? What an absolute joke. Huawei should be ashamed but they won't.,42,1,0,1,0,0,en,Huawei Health
"Impossible d'associer la balance Huawei scale 3 à cette application. Ni avec un Huawei, ni avec un Samsung depuis la dernière grande mise à jour de Huawei. Quelle déception ! Elle fonctionne avec l'Apple de la voisine... Ce n'est pas drôle ! Très déçue de Huawei.",4,1,0,1,0,0,fr,Huawei Health
"Not able to connect my watch gt2 with this app,I don't know how to resolve it",4,1,0,1,0,0,en,Huawei Health
Bien mais des fois l'appli bug elle peut même ne pas compter les pas pendant une journée,33,2,1,1,0,0,fr,Huawei Health
Je n'arrive toujours pas à écouter la musique via mon téléphone malgré une mise à jour.,20,4,0,1,0,0,fr,Huawei Health
Impossible de supprimer les écrans de montre constructeur non utilisés,41,2,0,1,0,0,fr,Huawei Health
Doesn't sync well with Google Fit,13,1,2,1,0,0,en,Huawei Health
"Plus de suivis gps et cela depuis un bon moment aucunes mise à jour satisfaisante qui réglerait le problème, très déçu",12,2,0,1,0,0,fr,Huawei Health
This app wont work with my samsung android but will with my ipad,23,1,1,1,0,0,en,Huawei Health
My sleep data is not getting synced from band to app. How do I fix this. It's been three days I have bought the band.,31,3,0,1,0,0,en,Huawei Health
"Très déçu, depuis la mise à jour, obligé de désinstaller puis réinstaller tous les 3 jours !!!!",16,2,0,1,0,0,fr,Huawei Health
"Love the watch GT2 but really unfortunate that the app keeps crashing, then have to uninstall and reinstall every few days. Can you please fix the app to be stable on Google 6 pro.",6,3,0,1,0,0,en,Huawei Health
"Never worked, difficult to connect device",4,1,0,1,0,0,en,Huawei Health
"Please fix, i can't change or download new faces. It says unstable connection but I have stable internet.",40,3,0,1,0,0,en,Huawei Health
Doesn't support sync to strava or gpx download,34,1,0,1,0,0,en,Huawei Health
Le rythme cardiaque ne marche pas ???,15,2,0,1,0,0,fr,Huawei Health
"It was good until the last update,after that the sleep recording is not working. Please fix it.",31,1,0,1,0,0,en,Huawei Health
I am unable to use notifications features from last update although I have followed all instructions and troubleshooting suggested by app. Bad experience,25,2,1,1,0,0,en,Huawei Health
"Après mise à jour, plus rien ne fonctionne, et pire, la montre n'est plus prise en charge suite à une désinstallation et réinstallation. Pas brillant tout ça. Je vais aller chez samsung, m'ont l'air moins nazes.",21,1,73,1,0,0,fr,Huawei Health
Je comprends pas je peut plus télécharger des cadrans pour ma montre la page reste blanche quand je click dessus aider moi a avoir une réponse a ca merci,40,3,2,1,0,0,fr,Huawei Health
Issues keeps disconnecting then connecting needs fixing was good but not so much now,4,2,0,1,0,0,en,Huawei Health
When incoming call arrives on my band it displays half number instead of full number (honor band 6). Please update as soon as possible and if i turn off location band automatically got disconnected.,27,1,0,1,0,0,en,Huawei Health
Impossible de connecter ma montte fossil,4,1,1,1,0,0,fr,Huawei Health
At first it not bad but recently some themes can't be downloaded can't even buy themes.,36,3,0,1,0,0,en,Huawei Health
Crashed straight away,6,1,0,1,0,0,en,Huawei Health
I couldn't connect with the smartwatch but instead app tells me to download the same app from the different site. I can download the app but it became as file and did not come out as an app.,4,1,0,1,0,0,en,Huawei Health
I just got a watch now n downloaded the application n its not working. Really i am very disappointed that i spend money in trash.,21,1,0,1,0,0,en,Huawei Health
"After the last update I can't connect my watch to the phone, and I can't set my gender as well",4,2,0,1,0,0,en,Huawei Health
Cant connect magic watch to my mi phone using this app,28,1,0,1,0,0,en,Huawei Health
Marche pas avec Google fit 👎👎👎👎👎👎,13,1,0,1,0,0,fr,Huawei Health
"At first, I was very satisfied with the app. But after my last update, the app required me to do the HMS CORE thing and my app didn't work properly. I tried to follow the instructions but I got frustrated. I uninstalled the app and reinstalled again, but the app is not working anymore.",14,1,28,1,0,0,en,Huawei Health
Impossible d'y connecter ma montre,4,1,0,1,0,0,fr,Huawei Health
Elle ne marche pas. Et j'ai une montre connectée de chez eux.... Nulissime,21,1,0,1,0,0,fr,Huawei Health
Plus accès au compte depuis la maj,18,1,0,1,0,0,fr,Huawei Health
Impossible d'associer ma montre huawei watch fit. Le modèle ne fait pas partie de la liste et la mise à jour se plante. Essai effectué avec un Samsung A41.,4,1,0,1,0,0,fr,Huawei Health
"Impossible de renseigner mon sexe ou d'ajouter une photo dans mon profil : j'ai un écran tout vide (blanc), avec une barre noire en haut et une croix pour quitter",29,3,0,1,0,0,fr,Huawei Health
I just updated health App yesterday and your app mention that we need new version of mobile 4.0 which is not available in Android phone . My all previous data is of no use . What I gonna do with your watch without app ? Please fix it,39,1,1,1,0,0,en,Huawei Health
The app gets crashed and also not opening frequently as i am trying to open it.,6,3,0,1,0,0,en,Huawei Health
Dynamic tracking is not working,10,1,0,1,0,0,en,Huawei Health
"Can't find WhatsApp, Facebook or Instagram on the app for notifications. Everything is enabled and still not showing, its useless when it comes to notifications and I keep having to reach to my phone to check if got any... Not good when working out.",25,5,0,1,0,0,en,Huawei Health
"Stopped working and constantly crashes now, not happy.",21,1,0,1,0,0,en,Huawei Health
Impossible de connecter une montre huwai watts 3 pro Jvais la rendre au magasin,4,1,0,1,0,0,fr,Huawei Health
J'enlève une étoile car j' ai dut le désinstaller puis le réinstaller suite à la dernière mise à jour pour récupérer mes données. Sinon rien a dire sur l'application,8,4,0,1,0,0,fr,Huawei Health
watch faces server always shows error,40,1,0,1,0,0,en,Huawei Health
After last update I can no longer change my face design..,40,1,0,1,0,0,en,Huawei Health
Aucune notification n'apparaît sur ma montre. Application d'une totale inutilité dans ce cas.,25,1,0,1,0,0,fr,Huawei Health
Dernière mise à jour ne fonctionne pas....,21,1,1,1,0,0,fr,Huawei Health
App not working properly,21,2,1,1,0,0,en,Huawei Health
"bonne application, je regrette cependant de ne pas recevoir mes SMS sur mon honor band 4 alors que je reçois bien les accusés de réception des SMS envoyés (pas de soucis avec whatsapp). intéressant pour suivre son évolution en natation",25,3,2,1,0,0,fr,Huawei Health
"I can't connect my huawei gt3 pro to my phone , samsung note 20 ultra , watch to supported !!!!",4,1,1,1,0,0,en,Huawei Health
