data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Needs a community like fitbit. I feel no need to open the app because it feels like there's no real competition.,13,3,0,0,1,0,en,Samsung Health
"application très complète, malheureusement elle souffre de nombreux ralentissement, mise à jour des statistiques très lente, rajout des aliments et autre entré très lent à s'afficher, améliorer la stabilité et le rapidité svp",53,3,1,0,1,0,fr,Samsung Health
Removed weight management 👎👎👎,66,1,3,0,1,0,en,Samsung Health
Not a bad app but could be a bit more accurate,43,3,0,0,1,0,en,Samsung Health
Comment peut on faire pour récupérer l'ancienne version ? La.maj est une vraie catastrophe...,36,3,1,0,1,0,fr,Samsung Health
Bonne appli mais il manque un mode triathlon.,32,4,0,0,1,0,fr,Samsung Health
"depuis la dernière maj, plus moyen d avoir la fréquence cardiaque en graphique continu..",26,2,0,1,1,0,fr,Samsung Health
Dommage que l'on puisse pas voir combien de kilomètres on fait en 1 semaine car prendre la calculatrice à chaque c'est contraignant,65,4,0,0,1,0,fr,Samsung Health
Good app could be better on recording calories. Why not scan option like myfitnesspal,22,4,0,0,1,0,en,Samsung Health
love the app always used it for years but why is there no auto fill for foods anymore ??,22,3,2,0,1,0,en,Samsung Health
Très bonne application. Le seul truc c'est que le widget à disparu,67,4,0,0,1,0,fr,Samsung Health
"Gestion de poids a été supprimé, c'était la chose plus efficace pour gerer notre activité a nos consommations alimentaires... pourquoi avoir supprimé cette catégorie de l'app??",66,1,2,0,1,0,fr,Samsung Health
I cannot get back to the previous version. I don't want the heart icon on my home page....,36,1,0,0,1,0,en,Samsung Health
Pourquoi demander l'accès aux SMS et Tel ?,40,3,0,0,1,0,fr,Samsung Health
I can't find the women's health section in this app.,68,4,0,0,1,0,en,Samsung Health
Would be nice if you could create challenges other then 1:1 maybe have a way your able to make a group challenge but with just friends or family.,10,4,0,0,1,0,en,Samsung Health
La mise à jour a mis l'assistant vocal en anglais et impossible de modifier la langue alors que mon appareil est en français... quelle catastrophe !!,28,1,0,1,1,0,fr,Samsung Health
Decent app but what is missing is a bar code scanner for prepackaged foods.,22,4,0,0,1,0,en,Samsung Health
Totally awesome. Just miss the chat group where we couks share routes with other users.,13,5,0,0,1,0,en,Samsung Health
Pourquoi demander l'autorisation de passer des appels ?????? Inadmissible pour une telle application . Très déçue Je desinstalle,40,1,2,0,1,0,fr,Samsung Health
Could improve by adding a feature to record irregular sleep patterns.,52,3,0,0,1,0,en,Samsung Health
"Je voudrais bien mettre un zero mais c'est impossible. Pourquoi demander accès à mes contacts et ma vie privée?!!! À ce point. Non mais serieux, la concurrence ce n'est pas ce qui manque. Appli supprimée, next!",40,1,1,0,1,0,fr,Samsung Health
Definitely like the older version. With this one there is no longer an option to measure pulse and O2 level(Stress) using the phone. Please bring that back.,26,2,0,0,1,0,en,Samsung Health
Can not disable weekly message. Annoying!,34,1,0,0,1,0,en,Samsung Health
What happened??  I miss looking at my history!  Too many changes at once.  Now im just looking for a pedometer with food log to replace this one.,27,2,0,0,1,0,en,Samsung Health
Add fitbit and/or myfitnesspal integration!,21,5,0,0,1,0,en,Samsung Health
I liked better the original version with the stress monitoring.☹,57,2,0,0,1,0,en,Samsung Health
C'est quoi cette histoire d'accès à mon téléphone ? Trop louche et non transparent!,40,1,0,0,1,0,fr,Samsung Health
"App was great until it removed features at the last update. Now it is mediocre and is just the same as every other app out there in the market. Samsung, who is responsible for such a stupid mistake? What can be done to reinstate the lost functionality?",36,1,1,0,1,0,en,Samsung Health
Please remove this from my phone,60,1,1,0,1,0,en,Samsung Health
Dommage on ne peut pas récupérer ses runs et ses pas en changeant de  téléphone seulement son profil,55,1,0,0,1,0,fr,Samsung Health
Weight tracking eith calories was removed. This app is no longer useful to me.,66,1,0,0,1,0,fr,Samsung Health
Impossible de programmer une course en fractionné... dommage,45,2,0,0,1,0,fr,Samsung Health
I do love this app. Would be better if Fitbit was a partner app as i feel  that would track my steps better as my phone isnt on me contantly,21,4,0,0,1,0,en,Samsung Health
"Très bonne application pour le suivi personnel, serait il possible d'ajouter les montres Garmin aux appareil compatible ? la ce serait parfait.",64,4,0,0,1,0,fr,Samsung Health
I just wished I didnt update samsung health.. I really hate the fact that i cant use it without giving it access to my contacts. I've been using this for so long.,40,3,3,0,1,0,en,Samsung Health
Très bonne application. Un bémol pour le suivi de la glycémie,24,4,0,0,1,0,fr,Samsung Health
"Depuis la dernière mise à jour , il manque plein de détails, de moyennes ,rendez nous la version précédente !!!",36,2,2,0,1,0,fr,Samsung Health
Loved this app for a long time. But the recent updatehas killed it for me.beacause this app all of sudden need permission for access my contacts and all. A big No from my side.i already had uninstall this app.Now searching for better pedometer..,40,1,4,0,1,0,en,Samsung Health
I don need this. Why Samsung is installing it systematic on my device?,60,1,0,0,1,0,en,Samsung Health
Très bien sauf le récapitulatif hebdomadaire je préfère le compte en kilomètre par semaine,65,5,0,0,1,0,fr,Samsung Health
Need to be able to actually record sleep habit not just sleep and wake but middle of night waking to show poor sleep cycle,52,4,1,0,1,0,en,Samsung Health
"Great app and use it daily with the Gear Fit 2...but with new insight enhancements as far as scheduling acivities feature is concerned, I dont understand why it can't do a recurring schedule for days of the week or days other than the current day....this is just stupid.  Other than that...very happy with the app!",49,4,0,0,1,0,en,Samsung Health
Would be 5 stars if I could turn off NFC. I have a device for my diabetes that needs NFC and having to select which app to use for NFC is really irritating. Please give an option to turn it off for this app.,33,4,0,0,1,0,en,Samsung Health
Il manque fonction vélo automatique !?,59,4,0,0,1,0,fr,Samsung Health
This app is fantastic. Syncs with galaxy watch. Would also be great if there was an option to track medication on the app as well that syncs with the watch.,31,5,0,0,1,0,en,Samsung Health
"I love this app but it's seriously frustrating when this app will not integrate with other apps other than strava. SAMSUNG, NOT ALL OF US ARE RUNNERS! PLEASE at least make a way to sync Google fit data over from apps that integrate with them or to integrate with fitness apps again! Love this app but this is seriously frustrating!",56,3,0,0,1,0,en,Samsung Health
Les nouvelles conditions ne sont pas acceptables. Je ne signerai pas et cherche une autre appli. Dommage...,58,2,1,0,1,0,fr,Samsung Health
"This app sucks now because they got rid of the weight management feature which I used literally every day. That was the best part of this app. Also, whose brilliant idea was it to change the colors of the protein/fats/carbs in the food tracking to varying shades of green that all look the same?? It looks horrible and you can't easily see your macros breakdown at a glance like you could when they were distinctly different colors. All the changes suck and now I have to find another app to use.",66,1,17,0,1,0,en,Samsung Health
Obligé d'avoir un compte alors qu'avant ce n'était pas le cas. Je n'utiliserai plus l'application.,1,1,0,0,1,0,fr,Samsung Health
Ça demande de gerer les appels ça n'a rien avoir avec c'est application,40,1,1,0,1,0,fr,Samsung Health
Latest update removed weight management and caffeine intake which were a significant factor in keeping this app. Hopefully your people will reinstate these as soon as possible. Most of the peripheral information is of no interest to me. I'll be looking for another app if the above can't be fixed!,66,1,2,0,1,0,en,Samsung Health
Notices d'information : en français c'est possible ?,28,3,2,0,1,0,fr,Samsung Health
Love this app but why had the weight management item disappeared today?,66,4,2,0,1,0,en,Samsung Health
I can't find the SPO2 to use.. am I missing something od is it not available for the galaxy s5??? If I can find it I will rare 5 stars,38,2,0,0,1,0,en,Samsung Health
"Allows me to keep track of everything in on app. Glucose,heart,stress,food,exercise, sleep and more. Then at the end of two weeks I send reports to my doctor via email.  I do wish the app allowed me to create just one report with the combined data.",47,4,0,0,1,0,en,Samsung Health
dommage d'avoir enlever le comotage des calorías cotidienes,9,3,0,0,1,0,fr,Samsung Health
Very useful. Sometimes complicated to navigate on.,23,4,0,0,1,0,fr,Samsung Health
Dont want it!!! Remove it all together if a could,60,1,0,0,1,0,en,Samsung Health
Au top sauf la synchro a strava trop longue obligé de faire des imports manuellement pour aller plus vite dommage donc 3 étoiles,56,3,0,0,1,0,fr,Samsung Health
Would give 4 but they took down a very vital feature like calorie management.,9,3,0,0,1,0,en,Samsung Health
Just wish that you could scan your food items,22,5,0,0,1,0,en,Samsung Health
pas de partage de suivi,50,1,0,0,1,0,fr,Samsung Health
Weird App Authorization Required. It won't let me use the app unless I let the app make phone calls. Doesn't tell me why. Uninstalled.,40,1,0,0,1,0,en,Samsung Health
Très bon mais j aimais mieux l ancienne version,36,5,2,0,1,0,fr,Samsung Health
Manque le trajet du parcour sous forme de maps,30,3,1,0,1,0,fr,Samsung Health
Ne perfectionnez pas trop vos applis. Ne dit-on pas que le mieux est l'ennemi du bien ? Personnellement je préférais avant la dernière mise à jour. Rappelez-vous que les humains ne sont pas des machines.,36,3,0,0,1,0,fr,Samsung Health
Need to be able to customize challenges a little bit,10,4,0,0,1,0,en,Samsung Health
"The tracking of sleep should have an ""add naps"" option. Cuz yes I only slept 4 hours last night but then I went back to sleep for like and I'd like to show my doctor a more accurate line graph of average sleep per day. Thank u",52,4,1,0,1,0,en,Samsung Health
I had this on my phone for so long and just a few months ago I decided to explore this app and did not regret it it is so amazing.The one thing I would like to say and hope they add on is on exercise it does have jumping on a trampoline so that is the only thing I did not like but other than that definitely recommend.,32,5,0,0,1,0,en,Samsung Health
