data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Depuis la dernière mise a jour impossible de synchroniser ma montre avec l'application,35,3,0,1,0,0,fr,Samsung Health
"Si ma montre est synchronisée en permanence, l'application ne me compte pas environ 20 % des pas effectués. Je dois donc couper la synchronisation et synchroniser une minute chaque soir pour avoir un relevé exact. Y aurait-il moyen de corriger ça ?",33,2,2,1,0,0,fr,Samsung Health
"The minute you stop biking, so does the app. Not accurate at all.",32,1,0,1,0,0,fr,Samsung Health
J étais super contente de cette application mais depuis la mise à jour  impossible d avoir le GPS. Donc je ne vois plus mon parcours ce qui m  aidait énormément dans les chemins pédestres. Quelqu' un aurait il la  solution merci d avance,14,5,4,1,0,0,fr,Samsung Health
Impossible de l ouvrir cause téléphone rooté. Ce n est pas le cas pourtant. Vite une mise à jour svp,27,2,5,1,0,0,fr,Samsung Health
"I wish I could edit my sleep record, cause it's not always right. I have to open up this app as soon as I wake up to get an accurate end of sleep. Otherwise, say if I'm still in bed on my phone when I wake up, it'll count that as part of my sleep...",29,3,0,1,1,0,en,Samsung Health
Après la mise à jour l'application ne marche pas android 7.0,21,3,0,1,0,0,fr,Samsung Health
The app inaccurately counted my steps. While i was in the 🏠 going into the kitchen it counted that i had taken 50 steps unfortunately my apartment is not that big....🤦🤷😠,33,1,0,1,0,0,en,Samsung Health
Je n arrivés pas du tout à me connecter avec mon portable huawei et sur ma montre galaxie Est ce normal ?,4,2,0,1,0,0,fr,Samsung Health
steps are accurate on mobile phone mode love the challenges the food calculator needs work alot of the nutrition information is incorrect making it unusable to me...,13,4,0,1,0,0,en,Samsung Health
"Ever since the recent update my step count has decline by at least 10% walking the same journey. Have cleared cache and restarted phone, but same result.",33,3,0,1,0,0,en,Samsung Health
Bonne application dans l'ensemble seul point négatif c'est le NFC qui fait beuguer librelink une appli pour le diabète ce serait sympa de régler ce problème !,19,2,0,1,0,0,fr,Samsung Health
"Depuis la mise à jour récente, l'application ne se connecte plus à mon compte Samsung et impossible de calculer mes pas, très déçue !!! Appli inutilisable !!!",17,1,0,1,0,0,fr,Samsung Health
Depuis deux jour l applications ne prend plus en compte les entraînements  et les pas je loupe les objectifs,34,3,0,1,0,0,fr,Samsung Health
Keeps on restarting. I'm not sure why,21,1,0,1,0,0,en,Samsung Health
L'application ne s'ouvre plus du tout...,3,3,0,1,0,0,fr,Samsung Health
Not working. Stuck at welcome screen with the spinning,21,1,0,1,0,0,en,Samsung Health
Impossible d ouvrir l appli sur mon Huawei mate 20 pro,22,1,0,1,0,0,fr,Samsung Health
"Since the update, the app won't count my steps. Why?",33,2,1,1,0,0,en,Samsung Health
Suddenly it stopped counting steps! I even installed it again but nothing.,33,1,0,1,0,0,en,Samsung Health
it's good but doesn't work with my fitbit 😥,11,4,0,1,0,0,en,Samsung Health
Nul nouvelle version je n'arrive plus à me connecter déçu,4,1,0,1,0,0,fr,Samsung Health
Ne fonctionne plus sur Samsung A40...,23,1,0,1,0,0,fr,Samsung Health
"All issues have been fixed. I love this app. However, the ""Smart View"" function isn't working from the last update. This function is really important to me, my phone is S9 plus.",30,5,0,1,0,0,en,Samsung Health
